titulo,genero,diretor,pais_origem
Filme 1,Drama,Quentin Tarantino,Estados Unidos
Filme 2,Drama,Quentin Tarantino,Reino Unido
Filme 3,Drama,Quentin Tarantino,França
Filme 4,Drama,Quentin Tarantino,Alemanha
Filme 5,Drama,Quentin Tarantino,Japão
Filme 6,Drama,Quentin Tarantino,Itália
Filme 7,Drama,Quentin Tarantino,Espanha
Filme 8,Drama,Quentin Tarantino,Brasil
Filme 9,Drama,Quentin Tarantino,Canadá
Filme 10,Drama,Quentin Tarantino,Austrália
Filme 11,Drama,Quentin Tarantino,Índia
Filme 12,Drama,Quentin Tarantino,Suécia
Filme 13,Drama,Quentin Tarantino,México
Filme 14,Drama,Quentin Tarantino,Coreia do Sul
Filme 15,Drama,Quentin Tarantino,China
Filme 16,Drama,Quentin Tarantino,Rússia
Filme 17,Drama,Quentin Tarantino,Argentina
Filme 18,Drama,Quentin Tarantino,Países Baixos
Filme 19,Drama,Quentin Tarantino,Nova Zelândia
Filme 20,Drama,Quentin Tarantino,África do Sul
Filme 21,Drama,Christopher Nolan,Estados Unidos
Filme 22,Drama,Christopher Nolan,Reino Unido
Filme 23,Drama,Christopher Nolan,França
Filme 24,Drama,Christopher Nolan,Alemanha
Filme 25,Drama,Christopher Nolan,Japão
Filme 26,Drama,Christopher Nolan,Itália
Filme 27,Drama,Christopher Nolan,Espanha
Filme 28,Drama,Christopher Nolan,Brasil
Filme 29,Drama,Christopher Nolan,Canadá
Filme 30,Drama,Christopher Nolan,Austrália
Filme 31,Drama,Christopher Nolan,Índia
Filme 32,Drama,Christopher Nolan,Suécia
Filme 33,Drama,Christopher Nolan,México
Filme 34,Drama,Christopher Nolan,Coreia do Sul
Filme 35,Drama,Christopher Nolan,China
Filme 36,Drama,Christopher Nolan,Rússia
Filme 37,Drama,Christopher Nolan,Argentina
Filme 38,Drama,Christopher Nolan,Países Baixos
Filme 39,Drama,Christopher Nolan,Nova Zelândia
Filme 40,Drama,Christopher Nolan,África do Sul
Filme 41,Drama,Martin Scorsese,Estados Unidos
Filme 42,Drama,Martin Scorsese,Reino Unido
Filme 43,Drama,Martin Scorsese,França
Filme 44,Drama,Martin Scorsese,Alemanha
Filme 45,Drama,Martin Scorsese,Japão
Filme 46,Drama,Martin Scorsese,Itália
Filme 47,Drama,Martin Scorsese,Espanha
Filme 48,Drama,Martin Scorsese,Brasil
Filme 49,Drama,Martin Scorsese,Canadá
Filme 50,Drama,Martin Scorsese,Austrália
Filme 51,Drama,Martin Scorsese,Índia
Filme 52,Drama,Martin Scorsese,Suécia
Filme 53,Drama,Martin Scorsese,México
Filme 54,Drama,Martin Scorsese,Coreia do Sul
Filme 55,Drama,Martin Scorsese,China
Filme 56,Drama,Martin Scorsese,Rússia
Filme 57,Drama,Martin Scorsese,Argentina
Filme 58,Drama,Martin Scorsese,Países Baixos
Filme 59,Drama,Martin Scorsese,Nova Zelândia
Filme 60,Drama,Martin Scorsese,África do Sul
Filme 61,Drama,Steven Spielberg,Estados Unidos
Filme 62,Drama,Steven Spielberg,Reino Unido
Filme 63,Drama,Steven Spielberg,França
Filme 64,Drama,Steven Spielberg,Alemanha
Filme 65,Drama,Steven Spielberg,Japão
Filme 66,Drama,Steven Spielberg,Itália
Filme 67,Drama,Steven Spielberg,Espanha
Filme 68,Drama,Steven Spielberg,Brasil
Filme 69,Drama,Steven Spielberg,Canadá
Filme 70,Drama,Steven Spielberg,Austrália
Filme 71,Drama,Steven Spielberg,Índia
Filme 72,Drama,Steven Spielberg,Suécia
Filme 73,Drama,Steven Spielberg,México
Filme 74,Drama,Steven Spielberg,Coreia do Sul
Filme 75,Drama,Steven Spielberg,China
Filme 76,Drama,Steven Spielberg,Rússia
Filme 77,Drama,Steven Spielberg,Argentina
Filme 78,Drama,Steven Spielberg,Países Baixos
Filme 79,Drama,Steven Spielberg,Nova Zelândia
Filme 80,Drama,Steven Spielberg,África do Sul
Filme 81,Drama,Alfred Hitchcock,Estados Unidos
Filme 82,Drama,Alfred Hitchcock,Reino Unido
Filme 83,Drama,Alfred Hitchcock,França
Filme 84,Drama,Alfred Hitchcock,Alemanha
Filme 85,Drama,Alfred Hitchcock,Japão
Filme 86,Drama,Alfred Hitchcock,Itália
Filme 87,Drama,Alfred Hitchcock,Espanha
Filme 88,Drama,Alfred Hitchcock,Brasil
Filme 89,Drama,Alfred Hitchcock,Canadá
Filme 90,Drama,Alfred Hitchcock,Austrália
Filme 91,Drama,Alfred Hitchcock,Índia
Filme 92,Drama,Alfred Hitchcock,Suécia
Filme 93,Drama,Alfred Hitchcock,México
Filme 94,Drama,Alfred Hitchcock,Coreia do Sul
Filme 95,Drama,Alfred Hitchcock,China
Filme 96,Drama,Alfred Hitchcock,Rússia
Filme 97,Drama,Alfred Hitchcock,Argentina
Filme 98,Drama,Alfred Hitchcock,Países Baixos
Filme 99,Drama,Alfred Hitchcock,Nova Zelândia
Filme 100,Drama,Alfred Hitchcock,África do Sul
Filme 101,Drama,Stanley Kubrick,Estados Unidos
Filme 102,Drama,Stanley Kubrick,Reino Unido
Filme 103,Drama,Stanley Kubrick,França
Filme 104,Drama,Stanley Kubrick,Alemanha
Filme 105,Drama,Stanley Kubrick,Japão
Filme 106,Drama,Stanley Kubrick,Itália
Filme 107,Drama,Stanley Kubrick,Espanha
Filme 108,Drama,Stanley Kubrick,Brasil
Filme 109,Drama,Stanley Kubrick,Canadá
Filme 110,Drama,Stanley Kubrick,Austrália
Filme 111,Drama,Stanley Kubrick,Índia
Filme 112,Drama,Stanley Kubrick,Suécia
Filme 113,Drama,Stanley Kubrick,México
Filme 114,Drama,Stanley Kubrick,Coreia do Sul
Filme 115,Drama,Stanley Kubrick,China
Filme 116,Drama,Stanley Kubrick,Rússia
Filme 117,Drama,Stanley Kubrick,Argentina
Filme 118,Drama,Stanley Kubrick,Países Baixos
Filme 119,Drama,Stanley Kubrick,Nova Zelândia
Filme 120,Drama,Stanley Kubrick,África do Sul
Filme 121,Drama,Francis Ford Coppola,Estados Unidos
Filme 122,Drama,Francis Ford Coppola,Reino Unido
Filme 123,Drama,Francis Ford Coppola,França
Filme 124,Drama,Francis Ford Coppola,Alemanha
Filme 125,Drama,Francis Ford Coppola,Japão
Filme 126,Drama,Francis Ford Coppola,Itália
Filme 127,Drama,Francis Ford Coppola,Espanha
Filme 128,Drama,Francis Ford Coppola,Brasil
Filme 129,Drama,Francis Ford Coppola,Canadá
Filme 130,Drama,Francis Ford Coppola,Austrália
Filme 131,Drama,Francis Ford Coppola,Índia
Filme 132,Drama,Francis Ford Coppola,Suécia
Filme 133,Drama,Francis Ford Coppola,México
Filme 134,Drama,Francis Ford Coppola,Coreia do Sul
Filme 135,Drama,Francis Ford Coppola,China
Filme 136,Drama,Francis Ford Coppola,Rússia
Filme 137,Drama,Francis Ford Coppola,Argentina
Filme 138,Drama,Francis Ford Coppola,Países Baixos
Filme 139,Drama,Francis Ford Coppola,Nova Zelândia
Filme 140,Drama,Francis Ford Coppola,África do Sul
Filme 141,Drama,Ridley Scott,Estados Unidos
Filme 142,Drama,Ridley Scott,Reino Unido
Filme 143,Drama,Ridley Scott,França
Filme 144,Drama,Ridley Scott,Alemanha
Filme 145,Drama,Ridley Scott,Japão
Filme 146,Drama,Ridley Scott,Itália
Filme 147,Drama,Ridley Scott,Espanha
Filme 148,Drama,Ridley Scott,Brasil
Filme 149,Drama,Ridley Scott,Canadá
Filme 150,Drama,Ridley Scott,Austrália
Filme 151,Drama,Ridley Scott,Índia
Filme 152,Drama,Ridley Scott,Suécia
Filme 153,Drama,Ridley Scott,México
Filme 154,Drama,Ridley Scott,Coreia do Sul
Filme 155,Drama,Ridley Scott,China
Filme 156,Drama,Ridley Scott,Rússia
Filme 157,Drama,Ridley Scott,Argentina
Filme 158,Drama,Ridley Scott,Países Baixos
Filme 159,Drama,Ridley Scott,Nova Zelândia
Filme 160,Drama,Ridley Scott,África do Sul
Filme 161,Drama,James Cameron,Estados Unidos
Filme 162,Drama,James Cameron,Reino Unido
Filme 163,Drama,James Cameron,França
Filme 164,Drama,James Cameron,Alemanha
Filme 165,Drama,James Cameron,Japão
Filme 166,Drama,James Cameron,Itália
Filme 167,Drama,James Cameron,Espanha
Filme 168,Drama,James Cameron,Brasil
Filme 169,Drama,James Cameron,Canadá
Filme 170,Drama,James Cameron,Austrália
Filme 171,Drama,James Cameron,Índia
Filme 172,Drama,James Cameron,Suécia
Filme 173,Drama,James Cameron,México
Filme 174,Drama,James Cameron,Coreia do Sul
Filme 175,Drama,James Cameron,China
Filme 176,Drama,James Cameron,Rússia
Filme 177,Drama,James Cameron,Argentina
Filme 178,Drama,James Cameron,Países Baixos
Filme 179,Drama,James Cameron,Nova Zelândia
Filme 180,Drama,James Cameron,África do Sul
Filme 181,Drama,Peter Jackson,Estados Unidos
Filme 182,Drama,Peter Jackson,Reino Unido
Filme 183,Drama,Peter Jackson,França
Filme 184,Drama,Peter Jackson,Alemanha
Filme 185,Drama,Peter Jackson,Japão
Filme 186,Drama,Peter Jackson,Itália
Filme 187,Drama,Peter Jackson,Espanha
Filme 188,Drama,Peter Jackson,Brasil
Filme 189,Drama,Peter Jackson,Canadá
Filme 190,Drama,Peter Jackson,Austrália
Filme 191,Drama,Peter Jackson,Índia
Filme 192,Drama,Peter Jackson,Suécia
Filme 193,Drama,Peter Jackson,México
Filme 194,Drama,Peter Jackson,Coreia do Sul
Filme 195,Drama,Peter Jackson,China
Filme 196,Drama,Peter Jackson,Rússia
Filme 197,Drama,Peter Jackson,Argentina
Filme 198,Drama,Peter Jackson,Países Baixos
Filme 199,Drama,Peter Jackson,Nova Zelândia
Filme 200,Drama,Peter Jackson,África do Sul
Filme 201,Drama,Hayao Miyazaki,Estados Unidos
Filme 202,Drama,Hayao Miyazaki,Reino Unido
Filme 203,Drama,Hayao Miyazaki,França
Filme 204,Drama,Hayao Miyazaki,Alemanha
Filme 205,Drama,Hayao Miyazaki,Japão
Filme 206,Drama,Hayao Miyazaki,Itália
Filme 207,Drama,Hayao Miyazaki,Espanha
Filme 208,Drama,Hayao Miyazaki,Brasil
Filme 209,Drama,Hayao Miyazaki,Canadá
Filme 210,Drama,Hayao Miyazaki,Austrália
Filme 211,Drama,Hayao Miyazaki,Índia
Filme 212,Drama,Hayao Miyazaki,Suécia
Filme 213,Drama,Hayao Miyazaki,México
Filme 214,Drama,Hayao Miyazaki,Coreia do Sul
Filme 215,Drama,Hayao Miyazaki,China
Filme 216,Drama,Hayao Miyazaki,Rússia
Filme 217,Drama,Hayao Miyazaki,Argentina
Filme 218,Drama,Hayao Miyazaki,Países Baixos
Filme 219,Drama,Hayao Miyazaki,Nova Zelândia
Filme 220,Drama,Hayao Miyazaki,África do Sul
Filme 221,Drama,Kathryn Bigelow,Estados Unidos
Filme 222,Drama,Kathryn Bigelow,Reino Unido
Filme 223,Drama,Kathryn Bigelow,França
Filme 224,Drama,Kathryn Bigelow,Alemanha
Filme 225,Drama,Kathryn Bigelow,Japão
Filme 226,Drama,Kathryn Bigelow,Itália
Filme 227,Drama,Kathryn Bigelow,Espanha
Filme 228,Drama,Kathryn Bigelow,Brasil
Filme 229,Drama,Kathryn Bigelow,Canadá
Filme 230,Drama,Kathryn Bigelow,Austrália
Filme 231,Drama,Kathryn Bigelow,Índia
Filme 232,Drama,Kathryn Bigelow,Suécia
Filme 233,Drama,Kathryn Bigelow,México
Filme 234,Drama,Kathryn Bigelow,Coreia do Sul
Filme 235,Drama,Kathryn Bigelow,China
Filme 236,Drama,Kathryn Bigelow,Rússia
Filme 237,Drama,Kathryn Bigelow,Argentina
Filme 238,Drama,Kathryn Bigelow,Países Baixos
Filme 239,Drama,Kathryn Bigelow,Nova Zelândia
Filme 240,Drama,Kathryn Bigelow,África do Sul
Filme 241,Drama,Clint Eastwood,Estados Unidos
Filme 242,Drama,Clint Eastwood,Reino Unido
Filme 243,Drama,Clint Eastwood,França
Filme 244,Drama,Clint Eastwood,Alemanha
Filme 245,Drama,Clint Eastwood,Japão
Filme 246,Drama,Clint Eastwood,Itália
Filme 247,Drama,Clint Eastwood,Espanha
Filme 248,Drama,Clint Eastwood,Brasil
Filme 249,Drama,Clint Eastwood,Canadá
