titulo,genero,diretor,classificacao,ano,avaliacao,pais_origem
Filme 3205,Terror,Quentin Tarantino,12,2013,8.7,Alemanha
Filme 4517,Romance,Christopher Nolan,4,1994,8.9,Dinamarca
Filme 2147,Sátira,Steven Spilberg,18,1939,4.9,Japão
Filme 3106,Romance,Stephen Daldry,14,1985,6.8,Itália
Filme 882,Romance,Christopher Nolan,14,1949,9.4,Estados Unidos
Filme 2859,Ação,Olivia Wilde,18,1940,9.7,Noruega
Filme 231,Romance,William Wyler,0,1953,8.0,Coreia do Sul
Filme 4954,Suspense,David Slade,14,1967,4.8,China
Filme 4550,Biografia,Jerry Zucker,12,1958,9.2,Espanha
Filme 80,Drama,Luiz Fernando Carvalho,14,2001,7.2,Argentina
Filme 1787,Ação,William Friedkin,16,1990,6.3,Japão
Filme 1744,Sátira,Orson Welles,16,1952,4.7,França
Filme 1104,Faroeste,Roberto Santucci,14,1975,8.6,França
Filme 4723,Faroeste,Mike Nichols,16,1970,9.5,Reino Unido
Filme 3782,Sátira,Cláudio Torres,0,1942,5.7,Estados Unidos
Filme 2952,Suspense,Kate Herron,14,2012,6.2,México
Filme 2245,Aventura,Ari Aster,12,2005,4.7,Alemanha
Filme 169,Drama,Tom McCarthy,14,2015,8.1,Austrália
Filme 3804,Comédia,Caito Ortiz,18,1993,4.7,França
Filme 5220,Comédia,Denis Villeneuve,0,1953,6.5,Argentina
Filme 4519,Suspense,Christopher Nolan,12,2013,9.0,Noruega
Filme 4897,Ação,Todd Phillips,14,1976,9.5,Dinamarca
Filme 2265,Ação,Ari Aster,14,1986,9.8,Alemanha
Filme 4276,Musical,Heitor Dhalia,10,1971,6.4,Suécia
Filme 953,Terror,Roman Polanski,12,1933,6.8,Índia
Filme 1236,Comédia,Kleber Mendonça Filho,4,1953,9.4,Suécia
Filme 857,Suspense,Lulu Wang,18,2003,8.7,Dinamarca
Filme 34,Comédia,Ivan Reitman,10,1984,7.8,China
Filme 556,Histórico,Baz Luhrmann,16,1963,8.6,Suécia
Filme 777,Ficção Científica,Taika Waititi,0,1959,6.7,Dinamarca
Filme 4308,Suspense,John McTiernan,18,1964,5.1,Canadá
Filme 4631,Suspense,Dan Kwan,18,1962,5.8,Coreia do Sul
Filme 5038,Documentário,Thea Sharrock,14,1994,5.5,Nova Zelândia
Filme 578,Guerra,Richard Marquand,12,1972,7.3,Nova Zelândia
Filme 1095,Animação,George Lucas,18,1962,7.8,Irlanda
Filme 1504,Sátira,Darren Aronofsky,0,1981,8.7,França
Filme 3722,Romance,Toninho Moura,12,1950,6.4,Estados Unidos
Filme 4334,Romance,George P. Cosmatos,16,2004,6.6,China
Filme 2514,Suspense,Jonathan Demme,10,1922,6.1,China
Filme 2407,Ação,James Gunn,10,1969,4.2,Japão
Filme 2134,Romance,Steven Spilberg,4,1975,8.3,China
Filme 4166,Suspense,José Padilha,0,1963,6.9,Itália
Filme 4510,Ficção Científica,Christopher Nolan,14,1963,9.5,Espanha
Filme 5429,Musical,Jim Jarmusch,12,1983,4.5,Austrália
Filme 4027,Animação,Luc Besson,10,1963,5.9,Japão
Filme 3314,Ficção Científica,Spike Jonze,12,2005,5.5,China
Filme 1653,Faroeste,Alejandro González Iñárritu,0,2004,6.0,Índia
Filme 2345,Guerra,Julius Avery,4,1973,5.9,Alemanha
Filme 3967,Aventura,Bryan Singer,4,1950,6.9,Japão
Filme 1434,Guerra,Damien Chazelle,12,1957,7.2,China
Filme 2852,Aventura,Olivia Wilde,12,2009,7.6,México
Filme 4858,Musical,Mike Newell,14,1966,8.3,Nova Zelândia
Filme 5093,Épico,Scott Hicks,4,1949,7.4,Índia
Filme 16,Ação,Akira Kurosawa,18,1954,8.6,Suécia
Filme 1618,Faroeste,Jim Jarmusch,12,1997,5.0,Nova Zelândia
Filme 5162,Animação,Michael Hoffman,12,1931,8.0,Estados Unidos
Filme 85,Comédia,Guel Arraes,12,2000,8.7,Alemanha
Filme 426,Histórico,Quentin Tarantino,14,1984,7.1,Itália
Filme 2440,Biografia,Rob Marshall,10,2013,9.8,Argentina
Filme 3620,Biografia,Daniel Filho,12,2007,7.9,Argentina
Filme 2764,Biografia,Roger Allers,18,1996,8.6,França
Filme 1169,Documentário,Peter Jackson,4,1966,5.3,Austrália
Filme 4300,Crime,Sylvester Stallone,16,2020,9.4,Argentina
Filme 1587,Terror,Lana Wachowski,16,1949,5.0,Japão
Filme 2226,Drama,Martin McDonagh,16,1969,7.8,Itália
Filme 2169,Crime,Jorge Furtado,16,1979,8.8,Austrália
Filme 5123,Histórico,Anthony Russo,16,1957,6.8,Reino Unido
Filme 5182,Épico,Richard Curtis,4,1959,4.7,Estados Unidos
Filme 411,Terror,Pedro Almodóvar,14,2005,5.3,Coreia do Sul
Filme 4504,Épico,Christopher Nolan,18,1956,7.7,França
Filme 1050,Biografia,Sergio Leone,16,1967,4.7,Espanha
Filme 2896,Crime,Fernando Meirelles,14,1936,6.0,Suécia
Filme 4268,Histórico,Heitor Dhalia,4,2003,8.4,Canadá
Filme 722,Terror,Alfonso Cuarón,12,1987,4.5,Estados Unidos
Filme 3627,Guerra,Daniel Filho,0,1991,6.9,Japão
Filme 394,Suspense,Ridley Scott,14,2002,8.8,China
Filme 933,Sátira,Steven Spielberg,12,2021,6.0,Índia
Filme 4441,Suspense,David O. Russell,16,1940,6.5,Brasil
Filme 2860,Crime,Olivia Wilde,10,1977,5.5,Argentina
Filme 3124,Ação,Stephen Daldry,18,1976,7.1,França
Filme 748,Drama,Jane Campion,12,1966,9.1,Canadá
Filme 4388,Comédia,Clint Eastwood,18,1942,7.0,Canadá
Filme 2868,Aventura,James Gray,0,1984,5.5,Canadá
Filme 2060,Documentário,Guillermo del Toro,10,1974,8.9,Argentina
Filme 2528,Histórico,Akira Kurosawa,16,1979,5.2,Canadá
Filme 4624,Comédia,Dan Kwan,12,1958,8.2,França
Filme 1818,Ficção Científica,Charlie Kaufman,4,1926,8.9,Nova Zelândia
Filme 2684,Comédia,Matt Ross,16,1952,6.2,França
Filme 2523,Épico,Jonathan Demme,10,2005,8.5,Reino Unido
Filme 9,Ficção Científica,Christopher Nolan,16,2010,8.8,Austrália
Filme 3117,Musical,Stephen Daldry,16,1933,8.5,Dinamarca
Filme 3169,Suspense,João Batista de Andrade,18,1927,9.0,Austrália
Filme 1666,Crime,Alejandro González Iñárritu,4,1934,6.5,Itália
Filme 3404,Crime,Michael Jelenic,0,2007,6.1,França
Filme 1439,Sátira,Damien Chazelle,16,2022,6.3,Noruega
Filme 965,Guerra,David Lean,12,1997,7.1,Alemanha
Filme 320,Terror,Ari Aster,18,2018,7.3,Argentina
Filme 4195,Romance,Anna Muylaert,14,2020,9.8,Irlanda
Filme 4608,Terror,Baz Luhrmann,10,2004,8.3,Canadá
